Vmag,Plx,B-V,Abs Mag
7.05,26.06,0.52,0.34805117724686846
9.09,-0.06,0.091,4.807697499232712
8.34,6.18,0.386,1.0820230498223684
8.86,5.6,1.081,0.9596239459875996
8.27,5.28,0.994,1.2467321549323755
6.36,4.81,-0.047,2.0917098472523366
8.08,3.45,1.156,1.6923618098534514
11.0,16.98,1.147,-0.8598753718158676
8.55,8.18,0.401,0.7544933926573538
7.83,7.48,0.495,1.120196804271077
8.79,31.8,0.94,-0.5208542399688654
8.33,6.35,0.135,1.0624525494160486
10.42,5.25,0.706,0.39168139318808615
8.26,9.13,0.846,0.7750584449314022
8.97,10.63,0.671,0.35893347095340644
6.9,3.97,1.446,2.04241898647377
9.93,24.22,1.068,-0.7403482776140666
7.42,1.6,1.524,2.6237600346881504
9.03,2.29,1.67,1.6683290353202243
8.41,3.53,0.022,1.540450589224355
8.06,1.17,1.203,2.6396282765076764
8.69,4.57,0.529,1.2041675998602996
8.4,15.59,0.566,0.2543077696223165
8.57,23.43,0.642,-0.16754457719392554
9.5,1.82,1.107,1.6798572240298504
8.85,2.28,1.726,1.7441303059990925
9.61,18.9,0.852,-0.3969236083464878
10.62,3.9,0.359,0.5698707859470019
8.05,3.47,0.018,1.699341050418252
7.8,4.52,0.43,1.5697231303772359
5.71,5.97,0.911,2.164051337741262
7.87,2.6,1.566,2.022053304058364
7.64,9.35,0.5,1.0023767782549644
7.66,4.21,1.3,1.6874358083286634
8.68,4.77,0.944,1.1709632419197722
8.12,16.74,0.619,0.3044890926855178
10.1,10.48,0.644,-0.08072256529541519
8.67,7.85,0.513,0.7422606865094948
10.46,19.83,1.36,-0.7786454284106054
9.87,6.49,0.551,0.42751060639926164
9.48,5.52,0.53,0.724121844541602
7.04,1.27,2.835,2.976392558088086
8.44,4.49,0.898,1.3195073179933536
9.88,7.35,0.509,0.31542532183161
7.05,3.0,1.55,2.2257574905606754
8.29,9.15,0.538,0.7611578118671037
9.34,8.16,0.543,0.4406196824922777
7.73,4.44,0.455,1.61323405977076
6.22,4.5,0.97,2.205574972449313
5.53,5.84,1.615,2.2551743057752005
8.53,0.3,1.315,3.6337574905606758
7.23,5.33,0.388,1.654545581946855
8.61,20.42,0.787,-0.06411147550178278
11.28,27.11,1.308,-1.3782590351609705
10.76,31.35,1.384,-1.2964750903334707
8.93,0.27,0.021,3.565272471682025
7.95,9.93,0.654,0.8261015030092377
7.46,4.73,0.16,1.666277718524377
8.6,8.29,0.435,0.7228909388994531
8.55,0.36,1.093,3.467394998465425
